"","region","object of transaction","address","total area transfer","land type_in city","land type_not in city","Land use zoning detailed map of non-urban area","date","number of buildings","transfer floor","total floors","type of building","main uses","main building materials","time of completion","total area","number of living rooms","number of dining  rooms","number of restrooms","has compartment","has management organization","selling price","selling price per square meter","parking category","total parking area transfer","parking price"
"1","文山區","房地(土地+建物)","臺北市文山區仙岩路58巷1~30號",32.1,"住",NA,NA,10307,"土地1建物1車位0","四層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,96.02,3,2,2,"有","無",13160000,137055,"",0,0
"2","文山區","房地(土地+建物)","臺北市文山區景興路241~270號",6.05,"商",NA,NA,10309,"土地1建物1車位0","十層",12,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",910408,61.23,5,1,1,"有","有",10300000,168218,"",0,0
"3","文山區","房地(土地+建物)+車位","臺北市文山區木柵路三段61~90號",19.49,"商",NA,NA,10309,"土地1建物1車位2","五層",26,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1030609,278.75,4,2,2,"有","有",35580000,165219,"坡道平面",87.62,4000000
"4","文山區","車位","臺北市文山區景華街121~150號",4.48,"住",NA,NA,10310,"土地0建物0車位1","地下二層",10,"其他","停車空間","鋼骨鋼筋混凝土造",910821,52.51,0,0,0,"有","有",3400000,NA,"坡道平面",0,3400000
"5","文山區","房地(土地+建物)+車位","臺北市文山區和平東路四段88巷1~30號",33.63,"住",NA,NA,10309,"土地1建物1車位1","一層，夾層",6,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",861230,132,3,2,2,"有","有",15800000,119697,"坡道平面",35.27,0
"6","中正區","房地(土地+建物)","臺北市中正區中華路二段311巷31~60號",10.53,"住",NA,NA,10310,"土地1建物1車位0","四層",5,"套房(1房1廳1衛)","","加強磚造",560519,25.63,1,1,1,"有","無",4020000,156847,"",0,0
"7","中正區","房地(土地+建物)","臺北市中正區中華路二段313巷1~30號",14.74,"住",NA,NA,10309,"土地1建物1車位0","五層",5,"套房(1房1廳1衛)","住家用","加強磚造",NA,35.11,2,1,1,"有","無",4800000,136713,"",0,0
"8","文山區","房地(土地+建物)","臺北市文山區辛亥路五段118巷1~30號",75,"住",NA,NA,10309,"土地1建物1車位0","全",2,"透天厝","住家用","加強磚造",NA,101.74,3,2,2,"有","無",23500000,230981,"",0,0
"9","中正區","車位","臺北市中正區晉江街72巷1~30號",3.52,"住",NA,NA,10310,"土地0建物0車位1","三層",6,"其他","住家用","鋼筋混凝土造",870914,5.7,0,0,0,"有","有",1180000,NA,"坡道機械",5.7,1180000
"10","文山區","房地(土地+建物)+車位","臺北市文山區政大二街151~180號",127.16,"住",NA,NA,10308,"土地1建物1車位1","全",3,"透天厝","住家用","鋼筋混凝土造",850106,264.06,5,3,4,"有","有",31800000,120427,"坡道平面",0,0
"11","中正區","房地(土地+建物)+車位","臺北市中正區南海路1~30號",10.9,"商",NA,NA,10307,"土地1建物1車位1","五層",13,"住宅大樓(11層含以上有電梯)","見使用執照","鋼筋混凝土造",901119,105.3,3,2,2,"有","有",8000000,75973,"其他",8.7,0
"12","中正區","房地(土地+建物)+車位","臺北市中正區南海路1~30號",10.9,"商",NA,NA,10307,"土地1建物1車位1","四層",13,"住宅大樓(11層含以上有電梯)","見使用執照","鋼筋混凝土造",901119,105.3,3,2,2,"有","有",8000000,75973,"其他",8.7,0
"13","文山區","房地(土地+建物)+車位","臺北市文山區興隆路四段58巷16弄1~30號",36.27,"住",NA,NA,10309,"土地1建物1車位1","三層",9,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",1030606,228.21,3,1,2,"有","有",26300000,153441,"坡道平面",72.45,2400000
"14","萬華區","房地(土地+建物)","臺北市萬華區萬大路277巷31~60號",32.2,"住",NA,NA,10309,"土地1建物1車位0","四層",7,"華廈(10層含以下有電梯)","國民住宅","鋼筋混凝土造",730109,111.06,3,2,1,"有","有",17330000,156042,"",0,0
"15","中正區","房地(土地+建物)","臺北市中正區連雲街26巷1~30號",11.68,"住",NA,NA,10309,"土地1建物1車位0","三層，陽台",4,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,31.38,2,1,1,"有","無",7250000,231039,"",0,0
"16","萬華區","房地(土地+建物)","臺北市萬華區青年路168巷1~30號",20.32,"住",NA,NA,10309,"土地2建物1車位0","四層，陽台",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,49.64,2,1,1,"有","無",5900000,118856,"",0,0
"17","萬華區","房地(土地+建物)+車位","臺北市萬華區中華路二段364巷24弄1~30號",38.44,"住",NA,NA,10310,"土地1建物1車位1","四層",14,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1010625,178.02,3,2,2,"有","有",9716439,54581,"坡道平面",0,0
"18","大同區","房地(土地+建物)+車位","臺北市大同區延平北路一段31~60號",23.41,"商",NA,NA,10309,"土地1建物1車位1","十三層",15,"住宅大樓(11層含以上有電梯)","見其他登記事項","鋼筋混凝土造",1010606,248.23,3,2,2,"有","無",46000000,204833,"坡道平面",36.35,2600000
"19","大同區","房地(土地+建物)","臺北市大同區歸綏街121~150號",12.9,"商",NA,NA,10309,"土地2建物1車位0","十層",14,"辦公商業大樓","商業用","鋼筋混凝土造",860331,98.22,3,2,2,"有","有",18300000,186316,"",0,0
"20","萬華區","房地(土地+建物)","臺北市萬華區西園路二段261巷12弄1~30號",26.75,"住",NA,NA,10309,"土地1建物1車位0","三層，陽台",4,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",601114,81.34,3,2,1,"有","無",8400000,103270,"",0,0
"21","大同區","房地(土地+建物)","臺北市大同區延平北路一段31~60號",2.66,"商",NA,NA,10309,"土地1建物1車位0","九層",11,"套房(1房1廳1衛)","商業用","鋼筋混凝土造",700223,22.39,1,0,1,"有","有",1900000,84859,"",0,0
"22","大同區","房地(土地+建物)","臺北市大同區歸綏街181~210號",24.25,"其他",NA,NA,10309,"土地1建物1車位0","全",3,"透天厝","","加強磚造",NA,54.77,6,3,4,"有","無",18000000,328647,"",0,0
"23","萬華區","房地(土地+建物)+車位","臺北市萬華區昆明街91~120號",0.54,"商",NA,NA,10308,"土地1建物1車位1","三層",14,"住宅大樓(11層含以上有電梯)","見使用執照","鋼筋混凝土造",920122,44.95,2,1,1,"有","有",5800000,129032,"升降機械",6.92,0
"24","中正區","房地(土地+建物)+車位","臺北市中正區臨沂街33巷31~60號",40.2,"住",NA,NA,10104,"土地1建物1車位2","三層",6,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",1030905,200.19,3,2,2,"有","有",57400000,311724,"升降機械",26.96,3400000
"25","內湖區","房地(土地+建物)+車位","臺北市內湖區內湖路一段411巷90弄1~30號",8.66,"住",NA,NA,10309,"土地1建物1車位1","九層",9,"套房(1房1廳1衛)","住家用","鋼筋混凝土造",981204,63.62,0,1,1,"有","有",9680000,152153,"升降機械",20.52,0
"26","內湖區","房地(土地+建物)","臺北市內湖區康寧路一段47巷1~30號",30.67,"住",NA,NA,10309,"土地1建物1車位0","一層",3,"公寓(5樓含以下無電梯)","住家用","加強磚造",570420,66.69,2,2,1,"有","無",12100000,181436,"",0,0
"27","內湖區","房地(土地+建物)+車位","臺北市內湖區南京東路六段331~360號",7.77,"工",NA,NA,10309,"土地1建物1車位1","三層",12,"住宅大樓(11層含以上有電梯)","見其他登記事項","鋼筋混凝土造",970407,76.68,1,1,1,"有","有",9300000,121283,"坡道平面",0,0
"28","中山區","房地(土地+建物)","臺北市中山區天祥路48巷1~30號",28.67,"住",NA,NA,10309,"土地1建物2車位0","一層",5,"公寓(5樓含以下無電梯)","商業用","鋼筋混凝土造",660818,113.7,3,2,1,"有","無",12000000,105541,"",0,0
"29","內湖區","土地","西湖段四小段241~270地號",167.14,"工",NA,NA,10310,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",79180000,473735,"",0,0
"30","內湖區","房地(土地+建物)","臺北市內湖區民權東路六段47巷18弄1~30號",25.36,"住",NA,NA,10306,"土地1建物1車位0","四層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",721122,93.84,3,2,2,"有","無",13000000,138534,"",0,0
"31","中山區","房地(土地+建物)","臺北市中山區民權東路一段31~60號",4.52,"商",NA,NA,10309,"土地1建物1車位0","五層",12,"套房(1房1廳1衛)","住家用","鋼筋混凝土造",961002,39.26,1,1,1,"有","有",9300000,236882,"",0,0
"32","內湖區","車位","臺北市內湖區民權東路六段280巷155弄1~30號",2.93,"住",NA,NA,10310,"土地0建物0車位1","地下一層",9,"其他","停車空間","鋼筋混凝土造",910624,48.72,0,0,0,"有","有",1380000,NA,"坡道平面",48.72,1380000
"33","內湖區","房地(土地+建物)+車位","臺北市內湖區新富街121~150號",48.32,"住",NA,NA,10309,"土地1建物1車位1","二層",13,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1020808,302.53,3,2,3,"有","有",60000000,222683,"坡道平面",42.07,2000000
"34","中山區","房地(土地+建物)","臺北市中山區林森北路107巷31~60號",5.8,"商",NA,NA,10309,"土地1建物1車位0","三層",5,"套房(1房1廳1衛)","住家用","鋼筋混凝土造",810130,33.76,1,1,1,"有","無",6000000,177725,"",0,0
"35","內湖區","房地(土地+建物)+車位","臺北市內湖區內湖路一段91巷1~30號",78.43,"其他",NA,NA,10309,"土地1建物1車位2","二層",10,"廠辦","工業用","鋼筋混凝土造",940308,320.48,6,0,0,"有","有",35300000,110147,"坡道平面",0,0
"36","中山區","房地(土地+建物)+車位","臺北市中山區明水路691~720號",15.9,"商",NA,NA,10309,"土地1建物1車位1","八層",12,"套房(1房1廳1衛)","商業用","鋼筋混凝土造",970319,88.62,1,1,1,"有","有",18100000,204243,"坡道平面",0,0
"37","中山區","房地(土地+建物)","臺北市中山區林森北路107巷61~90號",20.63,"商",NA,NA,10309,"土地1建物1車位0","一層",7,"店面(店鋪)","見其他登記事項","鋼筋混凝土造",1010210,87.95,2,2,2,"有","有",33360000,379306,"",0,0
"38","內湖區","房地(土地+建物)","臺北市內湖區內湖路三段60巷12弄1~30號",31.12,"住",NA,NA,10309,"土地1建物1車位0","二層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",681128,96.92,3,2,2,"有","無",6000000,61907,"",0,0
"39","中山區","房地(土地+建物)","臺北市中山區林森北路421~450號",4.01,"商",NA,NA,10309,"土地1建物1車位0","六層",10,"套房(1房1廳1衛)","商業用","鋼筋混凝土造",850617,38.55,1,1,1,"有","有",7200000,186770,"",0,0
"40","中山區","房地(土地+建物)","臺北市中山區吉林路151~180號",18.82,"商",NA,NA,10309,"土地1建物1車位0","二層",7,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",710408,112.72,3,1,2,"有","無",21800000,193400,"",0,0
"41","中山區","房地(土地+建物)","臺北市中山區撫順街41巷1~30號",3.92,"商",NA,NA,10309,"土地1建物1車位0","六層",6,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",711223,25.98,1,0,1,"有","有",4300000,165512,"",0,0
"42","中山區","房地(土地+建物)","臺北市中山區新生北路二段60巷1~30號",4.32,"商",NA,NA,10309,"土地1建物1車位0","五層",12,"住宅大樓(11層含以上有電梯)","商業用","鋼筋混凝土造",701228,51.5,2,2,1,"有","有",9600000,186408,"",0,0
"43","中山區","房地(土地+建物)","臺北市中山區龍江路356巷1~30號",34.8,"住",NA,NA,10309,"土地2建物1車位0","四層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",670410,117.7,3,2,2,"有","無",16880000,143415,"",0,0
"44","中山區","房地(土地+建物)","臺北市中山區中山北路一段91~120號",14.74,"商",NA,NA,10309,"土地1建物2車位0","一層，騎樓",12,"住宅大樓(11層含以上有電梯)","商業用","鋼筋混凝土造",770401,147.43,1,1,1,"有","有",63000000,427292,"",0,0
"45","松山區","房地(土地+建物)","臺北市松山區三民路166巷1~30號",17.28,"住",NA,NA,10308,"土地1建物1車位0","四層",5,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",841019,49.45,1,1,1,"有","有",12380000,250354,"",0,0
"46","松山區","房地(土地+建物)","臺北市松山區八德路四段751~780號",4.33,"商",NA,NA,10309,"土地1建物1車位0","五層",14,"套房(1房1廳1衛)","商業用","鋼筋混凝土造",860613,38.66,1,1,1,"有","有",7900000,204346,"",0,0
"47","信義區","房地(土地+建物)","臺北市信義區吳興街284巷24弄61~90號",16.8,"住",NA,NA,10307,"土地1建物1車位0","一層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",670708,63.5,2,0,2,"有","無",11000000,173228,"",0,0
"48","松山區","房地(土地+建物)","臺北市松山區光復南路22巷31~60號",22.22,"住",NA,NA,10309,"土地1建物1車位0","五層",6,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",730705,106.17,3,2,2,"有","無",28000000,263728,"",0,0
"49","松山區","房地(土地+建物)","臺北市松山區新東街16巷1~30號",16.95,"住",NA,NA,10309,"土地1建物1車位0","三層",4,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,46,2,1,1,"有","無",8000000,173913,"",0,0
"50","信義區","車位","臺北市信義區吳興街600巷100弄1~30號",0.01,"住",NA,NA,10310,"土地0建物0車位1","",NA,"其他","","",NA,23.63,0,0,0,"有","有",2800000,NA,"升降機械",23.63,2800000
"51","松山區","房地(土地+建物)","臺北市松山區光復北路60巷31~60號",39,"住",NA,NA,10309,"土地1建物1車位0","三層，陽台",4,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,109.57,3,2,2,"有","無",24800000,226339,"",0,0
"52","南港區","房地(土地+建物)+車位","臺北市南港區經園街61~90號",20.85,"住",NA,NA,10308,"土地1建物1車位1","十層",10,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",970304,115.99,2,2,1,"有","有",19800000,170704,"坡道平面",0,0
"53","信義區","房地(土地+建物)+車位","臺北市信義區吳興街600巷100弄1~30號",12.95,"住",NA,NA,10310,"土地1建物1車位1","五層",11,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1030108,92.96,1,1,2,"有","有",18020000,205615,"升降機械",16.02,2200000
"54","南港區","土地","向陽段1~30地號",3.86,"住",NA,NA,10309,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",887148,229831,"",0,0
"55","南港區","房地(土地+建物)+車位","臺北市南港區成功路一段31~60號",50.65,"工",NA,NA,10308,"土地1建物1車位2","五層",9,"辦公商業大樓","工業用","鋼筋混凝土造",910603,300.43,0,0,0,"無","有",35500000,118164,"坡道平面",64.52,0
"56","北投區","房地(土地+建物)","臺北市北投區中山北路七段219巷3弄151~180號",28.07,"住",NA,NA,10309,"土地1建物1車位0","三層",7,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",731227,130.55,3,2,2,"有","有",16300000,124856,"",0,0
"57","北投區","房地(土地+建物)","臺北市北投區幽雅路1~30號",7.88,"住",NA,NA,10308,"土地1建物1車位0","四層",13,"套房(1房1廳1衛)","住家用","鋼筋混凝土造",980205,48.8,0,0,0,"無","有",5600000,114754,"",0,0
"58","士林區","土地","天玉段三小段151~180地號",533.17,"住",NA,NA,10309,"土地6建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",16154344,30299,"",0,0
"59","士林區","房地(土地+建物)","臺北市士林區中山北路七段114巷60弄1~30號",36.94,"住",NA,NA,10308,"土地1建物1車位0","四層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",700904,136.89,4,2,2,"有","無",15280000,111622,"",0,0
"60","北投區","房地(土地+建物)","臺北市北投區知行路292巷14弄1~30號",34.28,"住",NA,NA,10308,"土地1建物1車位0","三層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",700930,118.02,3,2,2,"有","無",11400000,96594,"",0,0
"61","北投區","車位","臺北市北投區公?路231巷7弄1~30號",1.88,"住",NA,NA,10310,"土地0建物0車位1","地下一層，地下二層",8,"其他","見使用執照","鋼筋混凝土造",830924,21.49,0,0,0,"有","有",765000,NA,"升降機械",0,765000
"62","士林區","房地(土地+建物)","臺北市士林區大南路251巷31~60號",38,"住",NA,NA,10308,"土地1建物1車位0","三層，陽台",4,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",650922,96.06,3,2,1,"有","無",14000000,145742,"",0,0
"63","士林區","房地(土地+建物)","臺北市士林區延平北路五段91~120號",16.67,"商",NA,NA,10309,"土地1建物1車位0","一層，騎樓",3,"店面(店鋪)","住家用","加強磚造",580225,43.72,0,0,0,"無","無",10000000,228728,"",0,0
"64","北投區","房地(土地+建物)","臺北市北投區行義路121~150號",4.29,"住",NA,NA,10309,"土地2建物1車位0","六層",8,"套房(1房1廳1衛)","住家用","鋼筋混凝土造",701120,29.5,1,0,1,"有","有",3400000,115254,"",0,0
"65","士林區","房地(土地+建物)","臺北市士林區社子街25巷1~30號",11.13,"住",NA,NA,10305,"土地1建物1車位0","四層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",671205,37.97,3,2,2,"有","無",4000000,105346,"",0,0
"66","士林區","房地(土地+建物)+車位","臺北市士林區中山北路七段14巷82弄1~30號",32.4,"住",NA,NA,10309,"土地1建物1車位1","五層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",770419,178.33,3,2,2,"有","有",19000000,106538,"坡道平面",36.55,0
"67","北投區","房地(土地+建物)","臺北市北投區行義路186巷61~90號",30.08,"住",NA,NA,10309,"土地1建物1車位0","七層",7,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",740110,136.29,3,2,1,"有","無",21500000,157752,"",0,0
"68","北投區","房地(土地+建物)","臺北市北投區行義路5巷1~30號",15.82,"住",NA,NA,10309,"土地2建物1車位0","七層",7,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",691202,76.71,3,1,2,"有","無",3700000,48234,"",0,0
"69","士林區","房地(土地+建物)","臺北市士林區天母東路22巷1~30號",23.28,"商",NA,NA,10308,"土地1建物1車位0","十層",10,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",670203,203.73,5,3,2,"有","有",36000000,176704,"",0,0
"70","士林區","車位","臺北市士林區天母東路50巷1~30號",0.62,"商",NA,NA,10308,"土地0建物0車位1","地下層",8,"其他","見使用執照","鋼筋混凝土造",670404,29.83,0,0,0,"有","有",2000000,NA,"坡道平面",0,2000000
"71","大安區","土地","金華段一小段301~330地號",29.4,"住",NA,NA,10211,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",7110000,241837,"",0,0
"72","大安區","土地","金華段一小段301~330地號",31.4,"住",NA,NA,10303,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",7550000,240446,"",0,0
"73","大安區","房地(土地+建物)","臺北市大安區羅斯福路二段101巷1~30號",29,"住",NA,NA,10308,"土地1建物1車位0","四層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,116.64,3,2,2,"有","無",26500000,227195,"",0,0
"74","大安區","房地(土地+建物)","臺北市大安區和平東路一段151~180號",6.88,"商",NA,NA,10309,"土地2建物1車位0","八層",11,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",NA,73.83,2,2,1,"有","有",17880000,242178,"",0,0
"75","大同區","房地(土地+建物)","臺北市大同區承德路三段177巷1~30號",31.25,"商",NA,NA,10309,"土地1建物1車位0","三層，陽台",4,"公寓(5樓含以下無電梯)","","鋼筋混凝土造",610226,106.63,3,2,1,"有","無",5600000,52518,"",0,0
"76","萬華區","房地(土地+建物)+車位","臺北市萬華區中華路二段364巷1~30號",53.48,"住",NA,NA,10310,"土地1建物1車位1","八層",14,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1020702,206.68,3,2,2,"有","有",12576275,60849,"坡道平面",0,0
"77","萬華區","房地(土地+建物)","臺北市萬華區武昌街二段61~90號",7.02,"商",NA,NA,10309,"土地1建物1車位0","八層",11,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",710908,79.49,2,2,1,"有","有",12280000,154485,"",0,0
"78","中山區","房地(土地+建物)","臺北市中山區明水路571~600號",13.53,"商",NA,NA,10309,"土地1建物1車位0","七層",10,"套房(1房1廳1衛)","商業用","鋼筋混凝土造",900829,47.71,2,2,1,"有","有",11750000,246280,"",0,0
"79","內湖區","房地(土地+建物)","臺北市內湖區陽光街92巷7弄1~30號",29.23,"住",NA,NA,10309,"土地1建物1車位0","三層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",730619,84.81,3,2,2,"有","無",14580000,171914,"",0,0
"80","內湖區","房地(土地+建物)+車位","臺北市內湖區成功路五段450巷1~30號",32.11,"住",NA,NA,10309,"土地4建物1車位1","九層",14,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",900117,170.79,3,2,2,"有","有",39800000,233035,"坡道平面",30.92,0
"81","內湖區","房地(土地+建物)","臺北市內湖區文德路271~300號",11.35,"住",NA,NA,10308,"土地1建物1車位0","六層",10,"套房(1房1廳1衛)","住家用","鋼筋混凝土造",950417,50.93,1,1,1,"有","有",10450000,205184,"",0,0
"82","中山區","房地(土地+建物)","臺北市中山區中原街1~30號",28.35,"住",NA,NA,10308,"土地1建物1車位0","夾層，一層",5,"店面(店鋪)","住商用","鋼筋混凝土造",760323,82.28,2,2,2,"有","無",39800000,483714,"",0,0
"83","中山區","房地(土地+建物)","臺北市中山區吉林路271~300號",19.95,"商",NA,NA,10308,"土地1建物1車位0","一層，騎樓",7,"店面(店鋪)","商業用","鋼筋混凝土造",690805,130.93,0,1,1,"有","無",47000000,358970,"",0,0
"84","中山區","房地(土地+建物)","臺北市中山區中山北路二段59巷1~30號",13.77,"商",NA,NA,10310,"土地1建物1車位0","五層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",780522,108.01,3,1,1,"有","無",9000000,83326,"",0,0
"85","中山區","房地(土地+建物)","臺北市中山區龍江路370巷1~30號",25.57,"住",NA,NA,10309,"土地1建物1車位0","五層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",720210,110.74,3,2,2,"有","無",24500000,221259,"",0,0
"86","北投區","房地(土地+建物)","臺北市北投區裕民一路40巷31~60號",14.74,"商",NA,NA,10309,"土地1建物1車位0","二層",10,"華廈(10層含以下有電梯)","商業用","鋼筋混凝土造",710630,133.56,4,2,2,"有","有",22650000,169587,"",0,0
"87","士林區","房地(土地+建物)","臺北市士林區承德路四段3巷1~30號",25.75,"住",NA,NA,10310,"土地1建物1車位0","四層，露台",4,"公寓(5樓含以下無電梯)","住家用","加強磚造",580714,66.54,2,1,1,"有","無",8500000,127743,"",0,0
"88","大安區","土地","仁愛段二小段481~510地號",11.91,"其他",NA,NA,10310,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",992000,83291,"",0,0
"89","大安區","房地(土地+建物)","臺北市大安區大安路一段83巷1~30號",30.57,"住",NA,NA,10308,"土地1建物1車位0","二層",6,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",NA,134.79,3,2,2,"有","無",39500000,293048,"",0,0
"90","大安區","土地","通化段六小段301~330地號",20.09,"其他",NA,NA,10310,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",2988630,148762,"",0,0
"91","大安區","房地(土地+建物)","臺北市大安區信義路四段31~60號",3.58,"住",NA,NA,10309,"土地2建物1車位0","二層",6,"其他","商業用","鋼筋混凝土造",600301,23.74,0,0,0,"無","有",5900000,248526,"",0,0
"92","大安區","房地(土地+建物)","臺北市大安區永康街75巷1~30號",8.77,"住",NA,NA,10309,"土地2建物1車位0","二層",7,"套房(1房1廳1衛)","住家用","鋼筋混凝土造",960702,36.12,1,1,1,"有","有",13120000,363234,"",0,0
"93","大安區","房地(土地+建物)","臺北市大安區通化街171巷1~30號",28.75,"住",NA,NA,10310,"土地1建物1車位0","四層，陽台",4,"公寓(5樓含以下無電梯)","","鋼筋混凝土造",NA,84.21,3,2,2,"有","無",20000000,237501,"",0,0
"94","大安區","房地(土地+建物)","臺北市大安區復興南路一段295巷1~30號",12,"住",NA,NA,10309,"土地1建物1車位0","二層",4,"套房(1房1廳1衛)","住家用","加強磚造",561206,32.53,1,1,1,"有","無",11800000,362742,"",0,0
"95","大安區","房地(土地+建物)","臺北市大安區信義路二段31~60號",3.34,"商",NA,NA,10309,"土地1建物1車位0","九層",13,"套房(1房1廳1衛)","住家用","鋼筋混凝土造",990122,37.12,1,2,1,"有","有",14950000,402748,"",0,0
"96","士林區","土地","蘭雅段一小段691~720地號",0.09,"其他",NA,NA,10104,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",45276,0,"",0,0
"97","北投區","土地","立農段一小段91~120地號",0.14,"其他",NA,NA,10104,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",60523,0,"",0,0
"98","北投區","土地","豐年段三小段31~60地號",1.92,"其他",NA,NA,10104,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",356691,185777,"",0,0
"99","北投區","房地(土地+建物)","臺北市北投區三合街二段481~510號",26.01,"住",NA,NA,10308,"土地1建物1車位0","三層",5,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",991018,110.7,2,1,2,"有","無",16800000,151762,"",0,0
"100","南港區","房地(土地+建物)","臺北市南港區南港路一段151~180號",37,"住",NA,NA,10309,"土地2建物1車位0","一層",1,"公寓(5樓含以下無電梯)","住家用","磚造",NA,65.4,0,0,0,"無","無",9000000,137615,"",0,0
"101","信義區","車位","臺北市信義區基隆路一段91~120號",0.1,"商",NA,NA,10310,"土地0建物0車位1","一層",14,"其他","見使用執照","鋼筋混凝土造",910104,47.6,0,0,0,"有","有",1700000,NA,"升降平面",47.61,0
"102","信義區","房地(土地+建物)","臺北市信義區基隆路一段121~150號",6.03,"商",NA,NA,10308,"土地2建物1車位0","十一層",13,"住宅大樓(11層含以上有電梯)","見其他登記事項","鋼筋混凝土造",950802,51.94,3,1,1,"有","有",20250000,389873,"",0,0
"103","松山區","房地(土地+建物)+車位","臺北市松山區南京東路五段151~180號",19.07,"其他",NA,NA,10309,"土地1建物1車位2","六層",18,"住宅大樓(11層含以上有電梯)","住家用","見其他登記事項",991112,319.09,3,2,2,"有","有",90000000,282052,"坡道平面",0,0
"104","信義區","房地(土地+建物)","臺北市信義區虎林街104巷91~120號",40,"住",NA,NA,10309,"土地1建物1車位0","全",3,"透天厝","住家用","磚造",520601,115.62,4,1,3,"有","無",10709300,92625,"",0,0
"105","中山區","土地","榮星段六小段301~330地號",9.57,"其他",NA,NA,10309,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",500528,52302,"",0,0
"106","內湖區","房地(土地+建物)+車位","臺北市內湖區港墘路26巷1~30號",36.85,"住",NA,NA,10309,"土地1建物1車位1","五層",14,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840401,181.25,4,2,2,"有","有",36180000,199625,"坡道平面",33.94,0
"107","萬華區","房地(土地+建物)+車位","臺北市萬華區中華路二段416巷31~60號",53.48,"住",NA,NA,10309,"土地1建物1車位1","二層",14,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1020702,206.64,3,2,2,"有","有",12614125,61044,"坡道平面",0,0
"108","中正區","土地","永昌段四小段631~660地號",16.76,"住",NA,NA,10309,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","有",93292,5566,"",0,0
"109","大安區","房地(土地+建物)+車位","臺北市大安區大安路二段122巷1~30號",33.26,"住",NA,NA,10309,"土地1建物1車位1","二層",7,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",990615,148.73,3,2,2,"有","有",53000000,356350,"坡道平面",11.24,0
