"","region","object of transaction","address","total area transfer","land type_in city","land type_not in city","Land use zoning detailed map of non-urban area","date","number of buildings","transfer floor","total floors","type of building","main uses","main building materials","time of completion","total area","number of living rooms","number of dining  rooms","number of restrooms","has compartment","has management organization","selling price","selling price per square meter","parking category","total parking area transfer","parking price"
"791","文山區","房地(土地+建物)","臺北市文山區景福街133巷1~30號",25.96,"住",NA,NA,10309,"土地1建物1車位0","三層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",701222,91.19,3,2,1,"有","無",14000000,153526,"",0,0
"792","中正區","土地","福和段一小段811~840地號",17.75,"商",NA,NA,10310,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",5900000,332394,"",0,0
"793","文山區","土地","指南段二小段151~180地號",6.61,"其他",NA,NA,10310,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",37025,5601,"",0,0
"794","文山區","房地(土地+建物)","臺北市文山區景華街61~90號",33.48,"住",NA,NA,10309,"土地6建物1車位0","四層，陽台",4,"公寓(5樓含以下無電梯)","","鋼筋混凝土造",NA,101.77,3,2,3,"有","無",7600000,74678,"",0,0
"795","文山區","房地(土地+建物)","臺北市文山區羅斯福路五段121~150號",48,"商",NA,NA,10310,"土地3建物1車位0","三層，陽台",4,"公寓(5樓含以下無電梯)","","鋼筋混凝土造",NA,115.6,3,2,2,"有","無",13500000,116782,"",0,0
"796","萬華區","房地(土地+建物)","臺北市萬華區和平西路三段52巷1~30號",37,"商",NA,NA,10310,"土地2建物1車位0","全",4,"透天厝","住家用","加強磚造",NA,89.68,4,0,1,"有","無",11000000,122658,"",0,0
"797","萬華區","房地(土地+建物)","臺北市萬華區萬大路486巷46弄1~30號",31,"住",NA,NA,10309,"土地1建物1車位0","四層",4,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,71.99,2,1,1,"有","無",9820000,136408,"",0,0
"798","萬華區","房地(土地+建物)","臺北市萬華區青年路68巷3弄1~30號",23.6,"住",NA,NA,10309,"土地1建物1車位0","十二層",12,"住宅大樓(11層含以上有電梯)","國民住宅","鋼筋混凝土造",NA,99.26,3,2,1,"有","有",14000000,141044,"",0,0
"799","萬華區","房地(土地+建物)","臺北市萬華區西園路二段281巷1~30號",29.25,"住",NA,NA,10309,"土地1建物1車位0","四層",4,"公寓(5樓含以下無電梯)","住家用","加強磚造",590122,79.9,2,1,1,"有","無",8500000,106383,"",0,0
"800","大同區","房地(土地+建物)","臺北市大同區南京西路91~120號",4.57,"商",NA,NA,10310,"土地1建物1車位0","七層",11,"住宅大樓(11層含以上有電梯)","商業用","鋼筋混凝土造",831111,47.89,2,1,1,"有","有",9150000,191063,"",0,0
"801","大同區","房地(土地+建物)","臺北市大同區民權西路91~120號",9.28,"住",NA,NA,10308,"土地2建物1車位0","十二層",13,"辦公商業大樓","商業用","鋼筋混凝土造",710713,101.95,0,0,0,"無","有",17280000,169495,"",0,0
"802","大同區","房地(土地+建物)","臺北市大同區民權西路91~120號",7.62,"住",NA,NA,10309,"土地2建物1車位0","十二層",13,"辦公商業大樓","商業用","鋼筋混凝土造",710713,82.95,0,0,0,"無","有",13080000,157685,"",0,0
"803","中正區","房地(土地+建物)","臺北市中正區衡陽路91~120號",650.38,"商",NA,NA,10310,"土地2建物9車位0","六層",8,"辦公商業大樓","商業用","鋼筋混凝土造",670410,4111.13,0,0,0,"無","有",1230000000,299188,"",0,0
"804","中正區","房地(土地+建物)+車位","臺北市中正區新生南路一段160巷1~30號",40.89,"住",NA,NA,10010,"土地1建物1車位3","五層",12,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1030407,309.35,0,0,0,"無","無",99280000,401681,"坡道平面",76.13,5600000
"805","中正區","房地(土地+建物)","臺北市中正區忠孝東路一段61~90號",43.95,"商",NA,NA,10308,"土地1建物5車位0","七層",12,"辦公商業大樓","商業用","鋼筋混凝土造",711116,506.35,0,0,0,"無","有",105000000,207366,"",0,0
"806","大同區","房地(土地+建物)","臺北市大同區南京西路151~180號",3.43,"商",NA,NA,10309,"土地1建物1車位0","五層",11,"住宅大樓(11層含以上有電梯)","商業用","鋼筋混凝土造",NA,34.03,0,0,0,"無","有",4500000,132236,"",0,0
"807","中山區","房地(土地+建物)","臺北市中山區北安路621巷1~30號",14,"住",NA,NA,10309,"土地1建物1車位0","四層",4,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",651204,56.33,3,2,2,"有","無",12500000,221907,"",0,0
"808","中山區","房地(土地+建物)","臺北市中山區民生東路一段70巷1~30號",6.61,"商",NA,NA,10310,"土地1建物1車位0","二層",7,"套房(1房1廳1衛)","住家用","鋼筋混凝土造",960912,33.41,0,1,1,"有","有",6970000,208620,"",0,0
"809","中山區","房地(土地+建物)+車位","臺北市中山區南京東路二段91~120號",3.97,"其他",NA,NA,10309,"土地3建物1車位1","八層",18,"套房(1房1廳1衛)","住家用","見其他登記事項",990917,94.56,0,1,1,"有","有",20280000,214467,"升降平面",38.52,0
"810","中山區","房地(土地+建物)+車位","臺北市中山區合江街31~60號",12.81,"住",NA,NA,10309,"土地1建物1車位1","二層",6,"套房(1房1廳1衛)","住家用","鋼筋混凝土造",860526,53.53,1,1,1,"有","有",11300000,211097,"升降機械",0,0
"811","中山區","房地(土地+建物)+車位","臺北市中山區雙城街13巷1~30號",13.45,"商",NA,NA,10310,"土地1建物1車位1","三層",15,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1010327,187.32,3,2,2,"有","有",35000000,186846,"坡道平面",39.62,0
"812","","車位","臺北市中山區松江路331~360號",0,"",NA,NA,10310,"土地0建物0車位5","",NA,"其他","","",NA,0,0,0,0,"有","有",5500000,NA,"",0,5500000
"813","中山區","房地(土地+建物)","臺北市中山區民生西路1~30號",5.94,"商",NA,NA,10309,"土地3建物1車位0","五層",12,"套房(1房1廳1衛)","住家用","鋼筋混凝土造",690105,55.5,0,1,1,"有","有",10400000,187387,"",0,0
"814","中山區","房地(土地+建物)","臺北市中山區龍江路356巷31~60號",22.87,"商",NA,NA,10309,"土地1建物1車位0","四層",7,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",720609,121.13,3,2,2,"有","有",25800000,212994,"",0,0
"815","","車位","臺北市內湖區五分街61~90號",0,"",NA,NA,10310,"土地0建物0車位1","",NA,"其他","","",NA,0,0,0,0,"有","有",1500000,NA,"",0,1500000
"816","中山區","房地(土地+建物)","臺北市中山區大直街124巷1~30號",18.14,"住",NA,NA,10309,"土地1建物1車位0","三層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",820211,73.81,1,1,1,"有","無",15200000,205934,"",0,0
